B1_x,B1_y,B2_x,B2_y,B3_x,B3_y,B4_x,B4_y,B5_x,B5_y
1341.0,0.748078718,1865.3799999999999,0.688541995,1839.96,0.698131528,3232.0,0.567625857,4590.0,0.468300291
1361.0,0.745246427,1893.1799999999998,0.685183527,1867.32,0.694777483,3280.0,0.563337461,4658.0,0.463518955
1381.0,0.742432202,1920.9799999999998,0.681848855,1894.68,0.691446631,3328.0,0.559090567,4726.0,0.458796592
1401.0,0.739634635,1948.78,0.678539446,1922.04,0.688139436,3376.0,0.554884976,4794.0,0.454132447
1421.0,0.736854262,1976.58,0.675254415,1949.3999999999999,0.684856338,3424.0,0.550720376,4862.0,0.449526044
1441.0,0.734091526,2004.3799999999999,0.67199296,1976.76,0.681595831,3472.0,0.546595706,4930.0,0.444976536
1461.0,0.731346519,2032.1799999999998,0.668754491,2004.12,0.67835696,3520.0,0.542510046,4998.0,0.440482797
1481.0,0.728619638,2059.98,0.665539133,2031.48,0.675140107,3568.0,0.538463154,5066.0,0.436043936
1501.0,0.725909824,2087.7799999999997,0.662348094,2058.84,0.671945519,3616.0,0.534454262,5134.0,0.431659232
1521.0,0.723216927,2115.58,0.65917991,2086.2,0.668772849,3664.0,0.530482837,5202.0,0.42732797
1541.0,0.720541358,2143.3799999999997,0.656033989,2113.56,0.665621207,3712.0,0.526549376,5270.0,0.423049544
1561.0,0.717881683,2171.18,0.652912006,2140.92,0.662489817,3760.0,0.522653258,5338.0,0.418822871
1581.0,0.715237438,2198.98,0.649812836,2168.2799999999997,0.659378715,3808.0,0.518793473,5406.0,0.414646242
1601.0,0.712608115,2226.7799999999997,0.646733717,2195.64,0.656287477,3856.0,0.514969842,5474.0,0.410518486
1621.0,0.709992205,2254.58,0.643674682,2223.0,0.653216022,3904.0,0.511182141,5542.0,0.406439086
1641.0,0.707392699,2282.3799999999997,0.640636316,2250.36,0.650164537,3952.0,0.507428425,5610.0,0.402407299
1661.0,0.704807952,2310.18,0.637619111,2277.72,0.647133557,4000.0,0.503707999,5678.0,0.398422244
1681.0,0.70223848,2337.98,0.634622305,2305.08,0.644122456,4048.0,0.500020864,5746.0,0.394483519
1701.0,0.699683121,2365.7799999999997,0.631646093,2332.44,0.641130462,4096.0,0.496367171,5814.0,0.390591362
1721.0,0.697143582,2393.58,0.628691212,2359.7999999999997,0.638158577,4144.0,0.492746395,5882.0,0.38674528
1741.0,0.694620414,2421.3799999999997,0.625756105,2387.16,0.635205946,4192.0,0.489158623,5950.0,0.382944364
