B5_x,B5_y,B4_x,B4_y,B3_x,B3_y,B2_x,B2_y,B1_x,B1_y
5.15e-07,0.0,2.72e-07,0.0,5.9e-07,0.0,1.42e-06,3.18e-07,3.007e-06,2.26e-07
5.3e-07,0.0,2.81e-07,0.0,6.08e-07,1.25e-07,1.465e-06,1.59e-07,3.104e-06,0.0
5.46e-07,0.0,2.89e-07,0.0,6.27e-07,0.0,1.511e-06,3.18e-07,3.203e-06,2.26e-07
5.61e-07,0.0,2.98e-07,0.0,6.47e-07,0.0,1.558e-06,0.0,3.306e-06,4.53e-07
5.77e-07,0.0,3.08e-07,0.0,6.67e-07,0.0,1.607e-06,0.0,3.412e-06,2.26e-07
5.94e-07,0.0,3.17e-07,0.0,6.88e-07,0.0,1.657e-06,0.0,3.521e-06,2.26e-07
6.11e-07,0.0,3.27e-07,0.0,7.1e-07,0.0,1.709e-06,1.59e-07,3.634e-06,0.0
6.29e-07,0.0,3.37e-07,0.0,7.32e-07,0.0,1.763e-06,0.0,3.751e-06,0.0
6.47e-07,0.0,3.47e-07,0.0,7.55e-07,0.0,1.818e-06,0.0,3.871e-06,0.0
6.66e-07,0.0,3.58e-07,1.12e-07,7.78e-07,0.0,1.875e-06,0.0,3.995e-06,2.26e-07
6.85e-07,0.0,3.69e-07,0.0,8.03e-07,0.0,1.934e-06,1.59e-07,4.123e-06,2.26e-07
7.05e-07,0.0,3.81e-07,1.12e-07,8.28e-07,0.0,1.994e-06,0.0,4.255e-06,4.53e-07
7.25e-07,0.0,3.92e-07,0.0,8.54e-07,0.0,2.057e-06,1.59e-07,4.391e-06,4.53e-07
7.46e-07,0.0,4.04e-07,0.0,8.8e-07,0.0,2.121e-06,1.59e-07,4.532e-06,4.53e-07
7.67e-07,1.19e-07,4.17e-07,0.0,9.08e-07,0.0,2.188e-06,0.0,4.677e-06,0.0
7.89e-07,0.0,4.3e-07,0.0,9.36e-07,0.0,2.256e-06,0.0,4.827e-06,4.53e-07
8.12e-07,0.0,4.43e-07,0.0,9.66e-07,1.25e-07,2.327e-06,0.0,4.982e-06,2.26e-07
8.36e-07,0.0,4.57e-07,2.24e-07,9.96e-07,0.0,2.4e-06,1.59e-07,5.142e-06,0.0
8.6e-07,0.0,4.71e-07,1.12e-07,1.027e-06,1.25e-07,2.475e-06,1.59e-07,5.306e-06,2.26e-07
8.85e-07,0.0,4.85e-07,0.0,1.059e-06,0.0,2.553e-06,0.0,5.476e-06,4.53e-07
9.1e-07,0.0,5e-07,0.0,1.092e-06,0.0,2.633e-06,4.77e-07,5.652e-06,0.0
9.36e-07,0.0,5.16e-07,0.0,1.126e-06,0.0,2.715e-06,4.77e-07,5.833e-06,0.0
9.63e-07,2.37e-07,5.32e-07,0.0,1.162e-06,6.27e-07,2.8e-06,0.0,6.02e-06,2.26e-07
9.91e-07,0.0,5.48e-07,1.12e-07,1.198e-06,0.0,2.888e-06,0.0,6.213e-06,4.53e-07
1.02e-06,0.0,5.65e-07,0.0,1.235e-06,0.0,2.979e-06,3.18e-07,6.412e-06,0.0
1.049e-06,0.0,5.82e-07,0.0,1.274e-06,0.0,3.072e-06,3.18e-07,6.618e-06,4.53e-07
1.079e-06,0.0,6e-07,0.0,1.314e-06,0.0,3.168e-06,0.0,6.83e-06,0.0
1.111e-06,0.0,6.19e-07,0.0,1.355e-06,0.0,3.267e-06,0.0,7.049e-06,6.79e-07
1.143e-06,0.0,6.38e-07,1.12e-07,1.397e-06,3.76e-07,3.37e-06,0.0,7.274e-06,9.06e-07
1.176e-06,0.0,6.58e-07,0.0,1.441e-06,1.25e-07,3.475e-06,4.77e-07,7.508e-06,0.0
1.209e-06,1.19e-07,6.78e-07,0.0,1.486e-06,1.25e-07,3.584e-06,4.77e-07,7.748e-06,2.26e-07
1.244e-06,0.0,6.99e-07,0.0,1.533e-06,1.25e-07,3.697e-06,1.59e-07,7.997e-06,4.53e-07
1.28e-06,0.0,7.2e-07,0.0,1.581e-06,1.25e-07,3.812e-06,4.77e-07,8.253e-06,1.132e-06
1.317e-06,0.0,7.43e-07,3.36e-07,1.63e-06,0.0,3.932e-06,0.0,8.517e-06,2.26e-07
1.355e-06,0.0,7.66e-07,0.0,1.681e-06,0.0,4.055e-06,4.77e-07,8.79e-06,4.53e-07
1.394e-06,1.19e-07,7.89e-07,1.12e-07,1.734e-06,2.51e-07,4.182e-06,0.0,9.072e-06,4.53e-07
1.434e-06,0.0,8.14e-07,0.0,1.788e-06,0.0,4.313e-06,0.0,9.363e-06,6.79e-07
1.476e-06,0.0,8.39e-07,0.0,1.844e-06,0.0,4.448e-06,3.18e-07,9.663e-06,6.79e-07
1.518e-06,0.0,8.65e-07,1.12e-07,1.902e-06,0.0,4.588e-06,1.59e-07,9.972e-06,2.26e-07
1.562e-06,0.0,8.91e-07,0.0,1.961e-06,1.25e-07,4.732e-06,0.0,1.0292e-05,2.26e-07
1.607e-06,2.37e-07,9.19e-07,0.0,2.022e-06,0.0,4.88e-06,3.18e-07,1.0622e-05,4.53e-07
1.654e-06,1.19e-07,9.47e-07,0.0,2.086e-06,2.51e-07,5.033e-06,1.59e-07,1.0962e-05,2.26e-07
1.701e-06,0.0,9.76e-07,0.0,2.151e-06,1.25e-07,5.19e-06,1.59e-07,1.1314e-05,0.0
1.75e-06,0.0,1.006e-06,1.12e-07,2.218e-06,2.51e-07,5.353e-06,0.0,1.1676e-05,6.79e-07
1.801e-06,0.0,1.038e-06,0.0,2.288e-06,1.25e-07,5.521e-06,3.18e-07,1.205e-05,2.26e-07
1.853e-06,1.19e-07,1.07e-06,0.0,2.359e-06,1.25e-07,5.694e-06,1.59e-07,1.2437e-05,6.79e-07
1.906e-06,0.0,1.103e-06,0.0,2.433e-06,1.25e-07,5.872e-06,1.59e-07,1.2835e-05,2.26e-07
1.961e-06,0.0,1.137e-06,0.0,2.509e-06,0.0,6.056e-06,4.77e-07,1.3246e-05,0.0
