Time,Mean delay per firm
4780709.0,56.257486508
4780710.0,56.041935419
4780711.0,55.968997571
4780712.0,56.056712913
4780713.0,55.901948258
4780714.0,55.807209375
4780715.0,55.727324475
4780716.0,55.691155384
4780717.0,55.756383882
4780718.0,55.560924063
4780719.0,55.180653183
4780720.0,54.848710592
4780721.0,54.720595765
4780722.0,54.540918545
4780723.0,54.338000116
4780724.0,54.094034766
4780725.0,53.885855348
4780726.0,53.74181109
4780727.0,53.690726035
4780728.0,53.891758958
4780729.0,54.545582125
4780730.0,55.474660257
4780731.0,55.913679918
4780732.0,55.805699461
4780733.0,55.72472315
4780734.0,55.698642778
4780735.0,55.658019531
4780736.0,55.431254387
4780737.0,55.171091401
4780738.0,54.8999835
4780739.0,54.608671486
4780740.0,54.330920228
4780741.0,54.050899249
4780742.0,53.728924722
4780743.0,53.364948873
4780744.0,53.040661821
4780745.0,52.784533708
4780746.0,52.594300926
4780747.0,52.358415801
4780748.0,52.25795922
4780749.0,52.302063825
4780750.0,52.337332491
4780751.0,52.487220536
4780752.0,52.528457699
4780753.0,52.428284287
4780754.0,52.184317979
4780755.0,51.872698407
4780756.0,51.540179625
4780757.0,51.160948231
4780758.0,50.662851977
4780759.0,50.176471908
4780760.0,49.851202006
4780761.0,49.69463929
4780762.0,49.492816198
4780763.0,49.402319089
4780764.0,49.379658158
4780765.0,49.418441419
4780766.0,49.670373317
4780767.0,49.877366359
4780768.0,50.103290346
4780769.0,50.146393889
4780770.0,49.989741511
4780771.0,49.920946388
4780772.0,49.994510597
4780773.0,50.32785168
4780774.0,50.694523537
4780775.0,51.465322541
4780776.0,53.543625009
4780777.0,55.672760699
4780778.0,56.019068396
4780779.0,56.17967819
4780780.0,56.280106634
4780781.0,56.141908417
4780782.0,55.849257209
4780783.0,55.632793209
4780784.0,55.649616184
4780785.0,56.382336458
4780786.0,58.206822055
4780787.0,59.101840686
4780788.0,59.040450417
4780789.0,58.792246744
4780790.0,58.677122924
4780791.0,58.765850276
4780792.0,59.028670429
4780793.0,59.27551863
4780794.0,59.334141971
4780795.0,59.205106089
4780796.0,59.329549007
4780797.0,59.603673627
4780798.0,59.83466698
4780799.0,60.117566512
4780800.0,60.548245312
4780801.0,61.364787011
4780802.0,62.031248612
4780803.0,62.17788611
4780804.0,62.11044121
4780805.0,61.824343632
4780806.0,61.547178361
4780807.0,61.285791697
4780808.0,61.051371612
4780809.0,60.889923387
4780810.0,60.895813605
4780811.0,60.838498228
4780812.0,60.721905511
4780813.0,60.518233326
4780814.0,60.394328014
4780815.0,60.645616017
4780816.0,60.870798135
4780817.0,60.961462029
4780818.0,61.29390441
4780819.0,61.928134918
4780820.0,62.374159421
4780821.0,62.391429769
4780822.0,62.412772911
4780823.0,62.244254635
4780824.0,62.020006792
4780825.0,61.897289482
4780826.0,61.841828368
4780827.0,61.662134753
4780828.0,61.477005845
4780829.0,61.428307893
4780830.0,61.503072697
4780831.0,61.512636857
4780832.0,61.382410422
4780833.0,61.203564986
4780834.0,61.037550672
4780835.0,61.000231491
4780836.0,60.989285615
4780837.0,61.248285268
4780838.0,61.370073062
4780839.0,61.288522223
4780840.0,61.173967023
4780841.0,61.075921699
4780842.0,61.35162911
4780843.0,61.795213966
4780844.0,61.861903505
4780845.0,61.693865174
4780846.0,61.518625243
4780847.0,61.55955106
4780848.0,61.935985995
4780849.0,62.773905533
4780850.0,63.482709823
4780851.0,63.679740271
4780852.0,63.528895806
4780853.0,63.416133623
4780854.0,63.70157419
4780855.0,64.506853946
4780856.0,64.998611867
4780857.0,65.06253131
4780858.0,64.926164549
4780859.0,64.976488714
4780860.0,65.006059404
4780861.0,64.963345356
4780862.0,64.815615822
4780863.0,64.558791441
4780864.0,64.255253783
4780865.0,64.143854012
4780866.0,64.127603261
4780867.0,64.053476835
4780868.0,63.98247862
4780869.0,63.957018679
4780870.0,64.151585038
4780871.0,65.27588667
4780872.0,66.742388339
4780873.0,67.172103275
4780874.0,67.04313045
4780875.0,66.75027265
4780876.0,66.641116958
4780877.0,66.767799014
4780878.0,66.937079912
4780879.0,66.887122779
4780880.0,66.657504345
4780881.0,66.42861775
4780882.0,66.317516523
4780883.0,66.236108195
4780884.0,66.076751525
4780885.0,66.062897627
4780886.0,66.097614035
4780887.0,66.024094749
4780888.0,65.767874954
4780889.0,65.46899828
4780890.0,65.47434838
4780891.0,65.680573188
4780892.0,65.703784282
4780893.0,65.628683434
4780894.0,65.649969691
4780895.0,65.618233462
4780896.0,65.54129181
4780897.0,65.401972082
4780898.0,65.299358252
4780899.0,65.049776468
4780900.0,64.728136407
4780901.0,64.418261095
4780902.0,64.203877251
4780903.0,64.10932351
4780904.0,64.190712308
4780905.0,64.22038302
4780906.0,64.077066478
4780907.0,63.912517986
4780908.0,63.680265647
4780909.0,63.680599589
4780910.0,63.694951101
4780911.0,63.532502802
4780912.0,63.445616568
4780913.0,63.350636663
4780914.0,63.195704712
4780915.0,63.121680304
4780916.0,63.292644577
4780917.0,63.407887989
4780918.0,63.634261978
4780919.0,63.983918689
4780920.0,64.303502949
4780921.0,64.528478993
4780922.0,65.024368032
4780923.0,65.536409613
4780924.0,65.509119727
4780925.0,65.52240748
4780926.0,66.002364806
4780927.0,66.294572921
4780928.0,66.448004877
4780929.0,66.528583176
4780930.0,66.614902793
4780931.0,66.635138286
4780932.0,66.68084743
4780933.0,66.776315544
4780934.0,66.593395702
4780935.0,66.439758883
4780936.0,66.573779085
4780937.0,66.91190492
4780938.0,67.295298508
4780939.0,67.244437235
4780940.0,67.064267826
4780941.0,66.896920975
4780942.0,66.868694733
4780943.0,66.85387142
4780944.0,66.844213186
4780945.0,66.722345028
4780946.0,66.592038229
4780947.0,66.381141682
4780948.0,66.073016387
4780949.0,65.772298751
4780950.0,65.741878903
4780951.0,65.730162236
4780952.0,65.687640941
4780953.0,65.573118942
4780954.0,65.407778711
4780955.0,65.345593062
4780956.0,65.452103608
4780957.0,65.913081432
4780958.0,66.188101685
4780959.0,65.931883381
4780960.0,65.752126643
4780961.0,65.418498711
4780962.0,65.110600271
4780963.0,64.878521874
4780964.0,64.590125932
4780965.0,64.387548386
4780966.0,64.061145268
4780967.0,63.625139846
4780968.0,63.329195991
4780969.0,63.116019769
4780970.0,62.86746753
4780971.0,62.7003254
4780972.0,62.523425599
4780973.0,62.567540908
4780974.0,62.915784848
4780975.0,63.523259954
4780976.0,63.9604255
4780977.0,64.107285567
4780978.0,64.190617844
4780979.0,64.278407918
4780980.0,64.347892756
4780981.0,64.330852712
4780982.0,64.456505162
4780983.0,64.532258722
4780984.0,64.587151498
4780985.0,64.542253188
4780986.0,64.436547641
4780987.0,64.304766528
4780988.0,64.015348436
4780989.0,63.696996848
4780990.0,63.511983382
4780991.0,63.318061735
4780992.0,63.165094199
4780993.0,62.945607538
4780994.0,62.601301592
4780995.0,62.20150577
4780996.0,61.803275773
4780997.0,61.455955573
4780998.0,61.277471597
4780999.0,61.294775144
4781000.0,61.280942792
4781001.0,61.328262543
4781002.0,61.640620748
4781003.0,61.851933257
4781004.0,61.649683054
4781005.0,61.378702414
4781006.0,61.189036093
4781007.0,61.156347511
4781008.0,61.0663272
4781009.0,60.980085169
4781010.0,60.987110409
4781011.0,61.227332027
4781012.0,61.767152409
4781013.0,62.479313681
4781014.0,62.947261067
4781015.0,62.826424054
4781016.0,62.588906691
4781017.0,62.356306117
4781018.0,62.105229716
4781019.0,61.914791221
4781020.0,61.812520072
4781021.0,61.787074587
4781022.0,61.60653897
4781023.0,61.365701576
4781024.0,61.24748309
4781025.0,61.441706851
4781026.0,61.461812899
4781027.0,61.597376191
4781028.0,61.799232493
4781029.0,61.791001979
4781030.0,61.710393901
4781031.0,61.586077259
4781032.0,61.413328014
4781033.0,61.757063281
4781034.0,62.390195703
4781035.0,62.550414296
4781036.0,62.798836651
4781037.0,63.044861431
4781038.0,63.271093753
4781039.0,63.906126211
4781040.0,64.693338934
4781041.0,65.164464208
4781042.0,65.132343927
4781043.0,64.781717353
4781044.0,64.466026331
4781045.0,64.308091097
4781046.0,64.219165562
4781047.0,64.156119462
4781048.0,64.035786599
4781049.0,64.02600607
4781050.0,63.859012967
4781051.0,63.642882679
4781052.0,63.419003146
4781053.0,63.255965077
4781054.0,63.272460439
4781055.0,63.332383275
4781056.0,63.433409609
4781057.0,63.503463675
4781058.0,63.550637346
4781059.0,63.542418648
4781060.0,63.339134042
4781061.0,63.104193122
4781062.0,62.85091136
4781063.0,62.503092899
4781064.0,62.152594717
4781065.0,61.938620784
4781066.0,61.818266561
4781067.0,61.730182208
4781068.0,61.465099257
4781069.0,61.406619967
4781070.0,62.155513066
4781071.0,63.558796811
4781072.0,64.005617459
4781073.0,64.015664411
4781074.0,64.07477735
4781075.0,64.14416611
4781076.0,64.244416143
4781077.0,64.262551809
4781078.0,64.386961087
4781079.0,64.705865961
4781080.0,64.65256694
4781081.0,64.610329008
4781082.0,64.651600038
4781083.0,64.621603025
4781084.0,64.552049404
4781085.0,64.888276165
4781086.0,65.528404886
4781087.0,65.686819597
4781088.0,65.57847274
4781089.0,65.423540869
4781090.0,65.30697519
4781091.0,65.062721916
4781092.0,64.684036836
4781093.0,64.369465623
4781094.0,64.123878295
4781095.0,63.938767764
4781096.0,63.828725864
4781097.0,64.120654729
4781098.0,64.395126425
4781099.0,64.337398009
4781100.0,64.302686354
4781101.0,64.516087151
4781102.0,64.748786483
4781103.0,65.009692448
4781104.0,65.270849392
4781105.0,65.551613577
4781106.0,65.688997485
4781107.0,65.67637927
4781108.0,65.723783708
4781109.0,65.780478844
4781110.0,65.757793708
4781111.0,65.658041138
4781112.0,65.470704277
4781113.0,65.275378228
4781114.0,64.974075125
4781115.0,64.676167553
4781116.0,64.602511159
4781117.0,64.706275555
4781118.0,64.6944691
4781119.0,64.723085268
4781120.0,64.73559287
4781121.0,64.568004587
4781122.0,64.448201944
4781123.0,64.283258502
4781124.0,64.461481262
4781125.0,64.839155521
4781126.0,65.062384962
4781127.0,65.124914054
4781128.0,65.240696245
4781129.0,65.284475115
4781130.0,65.623625162
4781131.0,65.98267432
4781132.0,66.138783781
4781133.0,66.029704483
4781134.0,65.876428441
4781135.0,65.840244735
4781136.0,65.853466903
4781137.0,65.723365311
4781138.0,65.610978805
4781139.0,65.553011715
4781140.0,65.485411648
4781141.0,65.614684374
4781142.0,65.558061981
4781143.0,65.351695725
4781144.0,65.201062947
4781145.0,64.962973308
4781146.0,64.677890583
4781147.0,64.589206139
4781148.0,64.69992293
4781149.0,64.703943048
4781150.0,64.698282663
4781151.0,64.566507376
4781152.0,64.299892026
4781153.0,63.979735231
4781154.0,63.704676337
4781155.0,63.508270654
4781156.0,63.252682989
4781157.0,63.10101108
4781158.0,62.966764826
4781159.0,63.090469313
4781160.0,63.211440188
4781161.0,63.126063848
4781162.0,62.906124993
4781163.0,62.63247215
4781164.0,62.453639106
4781165.0,62.353912591
4781166.0,62.500303031
4781167.0,62.698492391
4781168.0,62.733910273
4781169.0,62.681009567
4781170.0,62.620456157
4781171.0,62.71820234
4781172.0,62.823605436
4781173.0,62.828960241
4781174.0,62.697278604
4781175.0,62.50109985
4781176.0,62.356174982
4781177.0,62.162604813
4781178.0,62.140009421
4781179.0,61.988690972
4781180.0,61.80232418
4781181.0,61.660807132
4781182.0,61.61123971
4781183.0,61.58329549
4781184.0,61.363433416
4781185.0,61.14729327
4781186.0,60.947044257
4781187.0,60.658936148
4781188.0,60.568938386
4781189.0,60.445045821
4781190.0,60.064715904
4781191.0,59.522600228
4781192.0,59.07277022
4781193.0,58.70869243
4781194.0,58.396392122
4781195.0,58.126015028
4781196.0,57.933027662
4781197.0,57.740185252
4781198.0,57.555942821
4781199.0,57.464683029
4781200.0,57.580152158
4781201.0,57.523581306
4781202.0,57.260262603
4781203.0,57.045270775
4781204.0,56.961970703
4781205.0,56.905239381
4781206.0,56.778765
4781207.0,56.721848381
4781208.0,56.779403809
4781209.0,57.211662259
4781210.0,57.983770641
4781211.0,58.549137429
4781212.0,58.532915891
4781213.0,58.363603089
4781214.0,58.131119711
4781215.0,58.236202277
4781216.0,58.83988146
4781217.0,59.197704341
4781218.0,59.56276449
4781219.0,59.715773566
4781220.0,59.566559045
4781221.0,59.259426999
4781222.0,58.878884949
4781223.0,58.699916463
4781224.0,58.568436528
4781225.0,58.442198193
4781226.0,58.447835597
4781227.0,58.307574325
4781228.0,58.287630449
4781229.0,58.41363033
4781230.0,58.303202247
4781231.0,58.182563523
4781232.0,57.985531227
4781233.0,57.712417986
4781234.0,57.444822576
4781235.0,57.270057673
4781236.0,57.123005615
4781237.0,56.870413574
4781238.0,56.795706224
4781239.0,56.780461298
4781240.0,56.669751566
4781241.0,56.407071018
4781242.0,56.137223934
4781243.0,55.986512538
4781244.0,55.946223413
4781245.0,56.198677425
4781246.0,56.991044938
4781247.0,58.208745304
4781248.0,58.742776227
4781249.0,58.839525497
4781250.0,58.711749638
4781251.0,58.651852301
4781252.0,58.702478671
4781253.0,58.868945231
4781254.0,59.124216584
4781255.0,59.178197668
4781256.0,59.21943824
4781257.0,59.256702925
4781258.0,59.24702717
4781259.0,59.131708837
4781260.0,58.906689378
4781261.0,58.762088693
4781262.0,58.8118891
4781263.0,58.902546438
4781264.0,59.138816785
4781265.0,59.53625499
4781266.0,59.786710555
4781267.0,59.726819076
4781268.0,59.575143942
4781269.0,59.425195175
4781270.0,59.395136054
4781271.0,59.374985419
4781272.0,59.214756331
4781273.0,59.07911974
4781274.0,58.966837978
4781275.0,58.72086737
4781276.0,58.351611756
4781277.0,58.084376501
4781278.0,58.025095049
4781279.0,57.944118864
4781280.0,57.665508848
4781281.0,57.319215007
4781282.0,57.1461479
4781283.0,56.970706461
4781284.0,56.784343889
4781285.0,56.622892309
4781286.0,56.574182519
4781287.0,56.641135611
4781288.0,56.45179082
4781289.0,56.187121499
4781290.0,56.155772802
4781291.0,56.147299603
4781292.0,56.120762701
4781293.0,56.177737947
4781294.0,56.437700691
4781295.0,56.737051777
4781296.0,57.03383407
4781297.0,56.9770008
4781298.0,56.819277894
4781299.0,56.699138494
4781300.0,56.592795073
4781301.0,56.287165723
4781302.0,56.021298357
4781303.0,55.75918854
4781304.0,55.687841909
4781305.0,55.70728755
4781306.0,55.925745766
4781307.0,56.25983092
4781308.0,56.605660951
4781309.0,56.519230792
4781310.0,56.263533666
4781311.0,56.009727615
4781312.0,55.780285423
4781313.0,55.560508144
4781314.0,55.452840962
4781315.0,55.356089216
4781316.0,55.290865648
4781317.0,55.272410524
4781318.0,55.408066221
4781319.0,55.428459225
4781320.0,55.378117407
4781321.0,55.311727779
4781322.0,55.137012525
4781323.0,54.742385228
4781324.0,54.321991406
4781325.0,54.12053202
4781326.0,53.945885607
4781327.0,53.881044465
4781328.0,53.774735765
4781329.0,53.584141766
4781330.0,53.583055049
4781331.0,53.950419952
4781332.0,54.486943121
4781333.0,54.773487857
4781334.0,54.731840763
4781335.0,54.599066345
4781336.0,54.413559334
4781337.0,54.373257307
4781338.0,54.443183569
4781339.0,54.404966336
4781340.0,54.452091808
4781341.0,54.461028227
4781342.0,54.344335294
4781343.0,54.04315735
4781344.0,53.895179463
4781345.0,53.870668091
4781346.0,53.963639713
4781347.0,54.742728986
4781348.0,56.590715242
4781349.0,57.509656186
4781350.0,57.503094718
4781351.0,57.267746371
4781352.0,57.023556193
4781353.0,56.80769998
4781354.0,56.596651279
4781355.0,56.433570255
4781356.0,56.533523192
4781357.0,56.409171617
4781358.0,56.118963398
4781359.0,55.823274038
4781360.0,55.62870991
4781361.0,55.548949182
4781362.0,55.511455185
4781363.0,55.56746705
4781364.0,55.69854006
4781365.0,56.151935172
4781366.0,57.196927261
4781367.0,58.348303626
4781368.0,58.910270571
4781369.0,59.346614342
4781370.0,59.571913062
4781371.0,59.463887958
4781372.0,59.347454292
4781373.0,59.311094395
4781374.0,59.006749657
4781375.0,58.661127893
